name,birth,death,age
ACIL1063 M'. Acilius (35) C. f. L. n. Glabrio,-228,-175,53
STER1086 L. Stertinius (5),-250,-175,75
CLAU1095 Ap. Claudius (245) Nero,-250,-175,75
FABI1117 Q. Fabius (91) Q. f. Q. n. Labeo,-219,-100,119
CORN1137 Cn. Cornelius (265) Merenda,-225,-175,50
POST1172 A. Postumius (46) A. f. A. n. Albinus (Luscus),-219,-100,119
AEMI1175 L. Aemilius (127) Regillus,-225,-175,50
AURU1177 L. Aurunculeius (4),-225,-175,50
SEMP1182 Ti. Sempronius (53) P. f. Ti. n. Gracchus,-220,-100,120
SERV1266 M. Servilius (18) M. f. C. n.,-199,-100,99
CORN1285 P. Cornelius (331) P. f. P. n. Scipio,-215,-150,65
"FULV1286 Q. Fulvius (29, cf. 95) M. f. Nobilior",-196,-75,121
CLOE1287 P. Cloelius (9) Siculus,-225,-125,100
SULP1336 C. Sulpicius (50) C. f. Galba,-210,-100,110
VETU1337 Ti. Veturius (23) Gracchus Sempronianus,-200,-100,100
MANL1384 T. Manlius (83) A. f. T. n. Torquatus,-199,-75,124
CANI1392 M. Caninius (12) Rebilus,-225,-150,75
"ANNI1404 T. Annius (63, 64) T. f. Luscus",-196,-125,71
QUIN1449 T. Quinctius (46) T. f. T. n. Flamininus,-189,-100,89
VALE1460 M. Valerius (253) M. f. M. n. Messalla,-204,-100,104
OPIM1476 Q. Opimius (10) Q. f. Q. n.,-200,-100,100
LAEL1524 C. Laelius (3) C. f. C. n. Men. Sapiens,-190,-125,65
IUNI1533 M. Iunius (49) M. f. M. n. Brutus,-179,-125,54
AEMI1553 M. Aemilius (83) M. f. M. n. Lepidus Porcina,-180,-100,80
VETU0157 C. Veturius (10) P. f. - n. Cicurinus,-500,-400,100
SULP1718 Ser. Sulpicius (59) Ser. f. Ser. n. Galba,-151,-50,101
FLAV1743 C. Flavius (87) C. f. Fimbria,-154,-75,79
MARC1764 L. Marcius (75) Q. f. Q. n. Philippus,-136,-25,111
POST1800 L. Postumius (43) L. f. Sp. n. Albinus,-149,-50,99
GELL1822 L. Gellius (17) L. f. L. n. Tro. Poplicola,-135,-50,85
CLAU1851 M. Claudius (227) M. f. Arn. Marcellus,-125,-50,75
GABI1891 P. Gabinius (13),-130,0,130
VOLU1910 L. Volumnius (3) L. f. Ani.,-125,-50,75
RABI1912 C. Rabirius (5) C. f. Gal.,-125,0,125
FONT1965 M. Fonteius (12) Pap.,-125,-50,75
TERE1982 M. Terentius (Licinius 109) M. f. Varro Lucullus,-116,0,116
VALE1992 L. Valerius (179) L. f. C.? n. Flaccus,-99,0,99
CLAU2021 C. Claudius (214) Marcellus,-119,-50,69
AURE2026 M. Aurelius (107) M. f. Cotta,-120,0,120
