
name,birth,death
FABI0124 Q. Fabius (165) M. f. K. n. Vibulanus,-500,-375
MATI1273 C. Matienus (2),-225,-150
FURI1332 P. Furius (82) Philus,-225,-150
VOLS0140 M. Volscius (2) Fictor,-500,-400
MINU0147 L. Minucius (40) P. f. M. n. Esquilinus Augurinus,-500,-375
PLAU1531 C. Plautius (9) (Hypsaeus),-200,-125
"POPI1590 P. Popillius (28, cf. 7, 22) C. f. P. n. Laenas",-175,-100
RUTI1596 P. Rutilius (34) P. f.  Rufus,-158,-75
FABI1615 Q. Fabius (111) Q. Serviliani f. Q. n. Maximus Eburnus,-175,-100
PAPI1623 C. Papirius (33) C. f. Carbo,-163,-119
SERV1629 Q. Servilius (49) Cn. f. Cn. n. Caepio,-150,-50
OPIM1639 L. Opimius (4) Q. f. Q. n.,-175,-57
SULP1662 C. Sulpicius (51) Ser. f. Ser. n. Galba,-149,-50
PORC1682 C. Porcius (5) M. f. M. n. Pap. Cato,-157,-100
CAEC1693 Q. Caecilius (97) L. f. Q. n. Metellus Numidicus,-152,-75
CORN0173 M. Cornelius (246) - f. Ser. n. Maluginensis,-500,-375
MALL1739 Cn. Mallius (13) Cn. f. Maximus,-150,-100
SERG0174 M. Sergius (24) Esquilinus,-500,-375
POPI1748 C. Popillius (19) Laenas,-140,-100
POET0175 Q. Poetelius (4) Libo Visolus,-500,-375
ALBU1750 T. Albucius (2),-147,-50
BELL1751 L. Bellienus (5),-150,-50
LICI1759 L. Licinius (103) Lucullus,-150,-100
ANTO0176 T. Antonius (78) Merenda,-500,-375
DUIL0177 K. Duillius (4) (Longus),-500,-375
RABU0179 M'. Rabuleius (2),-500,-375
CLAU1807 Ap. Claudius (296) Ap. f. C. n. Pulcher,-150,-76
APPU1811 C. Appuleius (21) Decianus,-150,-75
AURE1866 C. Aurelius (96) M. f. Cotta,-124,-73
VARI1877 Q. Varius (7) Severus Hybrida Sucronensis,-124,-83
CAEC1889 Q. Caecilius (98) Q. f. L. n. Metellus Pius,-129,-64
VERR1967 C. Verres (1) Rom.,-125,-41
ANTO1969 C. Antonius (19) M. f. M. n. Hybrida,-125,25
TARQ0002 L. Tarquinius (8) Egeri f. Collatinus,-550,-450
CORN2007 Cn. Cornelius (135) (Cn. f. Cn. n.?) Dolabella,-125,-75
CLAU2062 C. Claudius (303) Ap. f. Ap. n. Pulcher,-100,-25
AUTR2070 P. Autronius (7) L. f. Paetus,-108,-46
TULL2072 M. Tullius (29) M. f. M. n. Cor. Cicero,-106,-43
GABI2234 A. Gabinius (11) A. f. - n.,-100,-47
MANL2250 A.? Manlius (76) A. f. Torquatus,-125,-25
SERV0226 C. Servilius (32) Ahala,-475,-375
MEMM2261 C. Memmius (8),-99,-50
AEMI2262 M. Aemilius (141) M. f. M. n. Scaurus,-92,0
PLAU2265 P. Plautius (23) Hypsaeus,-100,-44
AMPI2291 T. Ampius (1) T. f. Hor. Balbus,-100,-25
FADI2295 T. Fadius (9) Lem. Pol. Gallus,-100,-25
PLAN2312 Cn. Plancius (4) Ter.,-100,-25
NIGI2349 P. Nigidius (3) Figulus,-100,-45
ANNI2381 T. Annius (67) Mae. Milo = T. Papius Milo,-100,-48
CLAU2398 M. Claudius (229) M. f. M. n. Marcellus,-95,-45
CANI2401 L. Caninius (3) Pol. Gallus,-100,-44
MUNA2477 T. Munatius (32) Cam. Plancus Bursa,-100,25
POMP2478 Q. Pompeius (41) Rufus,-100,-50
LIGA2506 Q. Ligarius (4) Ser.,-100,-30
SEMP2972 C. Sempronius (79) Rufus,-100,-25
ATTI3151 -. Attidius (Atidius 2),-125,-67
FURI0340 M. Furius (44) L. f. Sp. n. Camillus,-448,-365
LIVI3403 L. Livineius (2) Regulus,-100,25
MARC3659 Q. (Marcius) (82) Philippus,-175,-100
LICI3795 -. Licinius (80) Lenticulus (or Denticula),-100,-25
CAEC4067 A. Caecina (7) Sab.,-150,25
ALBI4545 -. Albius (10) Clu. Oppianicus,-125,-69
CLAU0784 M. Claudius (115) Clineas,-275,-236
FULV0924 Cn. Fulvius (54) Flaccus,-242,-200
