name,birth,death,age
AELI1006 P. Aelius (101) Q. f. P. n. Paetus,-239,-174,65
CORN1023 L. Cornelius (188) L. f. L. n. Lentulus,-225,-173,52
AEMI1024 L. Aemilius (109) Papus,-225,-172,53
VETU1031 Ti. Veturius (22) L. f. L. n. Philo,-250,-204,46
QUIN1041 P. Quinctilius (12) P. f. Varus,-250,-169,81
FABI1053 Q. Fabius (104) Q. f. Q. n. Maximus,-219,-196,23
SULP1060 C. Sulpicius (49) Galba,-230,-199,31
AEMI1067 M. Aemilius (68) M. f. M. n. Lepidus,-230,-152,78
GENU0108 Cn. Genucius (4),-525,-473,52
PORC1084 P. Porcius (19) Pap. Laeca,-250,-164,86
CORN1090 Cn. Cornelius (346) Cn. f. L. n. Scipio Hispallus,-220,-176,44
SEMP1092 C. Sempronius (90) Tuditanus,-250,-196,54
"FABI1097 Q. Fabius (31, 57) (Buteo)",-250,-196,54
CLAU1125 C. Claudius (300) Ap. f. P. n. Pulcher,-220,-167,53
"MANL1128 P. Manlius (31, cf. Manilius 2) (Vulso)",-275,-180,95
AEMI1134 L. Aemilius (114) L. f. M. n. Paullus Macedonicus,-228,-160,68
SEMP1157 M. Sempronius (95) M. f. C. n. Tuditanus,-225,-174,51
POST1170 Sp. Postumius (44) L. f. A. n. Albinus,-219,-180,39
AEMI1185 M. Aemilius (129) (Regillus),-225,-190,35
FABI1188 Q. Fabius (127) Q. f. Pictor,-230,-167,63
CALP1222 C. Calpurnius (62) C. f. C. n. Piso,-230,-180,50
"CLAU1229 M. Claudius (223, 224) M. f. M. n. Marcellus",-230,-169,61
DECI1239 C. Decimius (9) Flavus,-229,-184,45
SEMP1241 P. Sempronius (65) Longus,-225,-183,42
POST0125 Sp. Postumius (52b) A. f. P. n. Albus Regillensis,-525,-439,86
FURI0127 Sp. Furius (71) Medullinus Fusus,-500,-453,47
MINU1277 Ti. Minucius (43) Molliculus,-225,-180,45
SERV0129 P. Servilius (73) Sp. f. P. n. Priscus,-500,-463,37
AEBU0130 L. Aebutius (11) T. f. T. n. Helva,-500,-463,37
CLAU1318 M. Claudius (225) M. f. M. n. Marcellus,-208,-148,60
"VALE0132 M'. Valerius (67, cf. 243) (Maximus)",-500,-463,37
FURI1323 L. Furius (77) Philus,-209,-170,39
FABI1341 N. Fabius (56) Buteo,-225,-173,52
CORN1362 P. Cornelius (202) L. f. L. n. Lentulus,-205,-121,84
DOMI1366 Cn. Domitius (19) Cn. f. L. n. Ahenobarbus,-200,-125,75
IUVE1387 M'. Iuventius (30) T. f. T. n. Pap. Thalna,-225,-163,62
CORN1396 P. Cornelius (353) P. f. Cn. n. Scipio Nasica Corculum,-205,-141,64
CORN1415 L. Cornelius (324) Scipio,-200,-161,39
SULP1417 Ser. Sulpicius (58) Ser. f. P. n. Galba,-191,-130,61
FABI1422 Q. Fabius (109) Q. f. Q. n. Maximus Aemilianus,-189,-130,59
CAEC1424 Q. Caecilius (94) Q. f. L. n. Metellus Macedonicus,-190,-115,75
PORC1433 M. Porcius (14) M. f. M. n. Cato Licinianus,-200,-152,48
CASS1439 Q. Cassius (69) L. f. Q. n. Longinus,-200,-164,36
CLAU1452 Ap. Claudius (295) Cn. f. Ap. n. Pulcher,-179,-130,49
FURI0146 -. (Furius?) (3.1968) Carve(tus),-500,-458,42
CORN1465 L. Cornelius (224) Cn. f. L. n. Lentulus Lupus,-199,-124,75
VALE1466 L. Valerius (174) L. f. P. n. Flaccus,-199,-152,47
CLAU1481 C. Claudius (106) Centho,-200,-155,45
LICI1500 P. Licinius (72) P. f. P. n. Crassus Dives Mucianus,-169,-130,39
CORN1504 P. Cornelius (335) P. f. P. n. Scipio Africanus Aemilianus,-185,-129,56
CORN1513 P. Cornelius (354) P. f. P. n. Scipio Nasica Serapio,-180,-132,48
MUCI1567 P. Mucius (17) P. f. Q. n. Scaevola,-180,-114,66
CORN1568 L. Cornelius (192) P. f. L. n. Lentulus,-175,-130,45
CLAU1579 M. Claudius (26) (Marcellus),-175,-137,38
RUPI1591 P. Rupilius (5) P. f. P. n.,-185,-131,54
FABI1594 Q. Fabius (110) Q. Aemiliani f. Q. n. Maximus Allobrogicus,-164,-100,64
RUTI1596 P. Rutilius (34) P. f.  Rufus,-158,-75,83
PERP1600 M. Perperna (4) M. f. L. n.,-175,-129,46
MUCI1613 Q. Mucius (21) Q. f. Q. n. Scaevola 'Augur',-170,-87,83
QUIN0163 Sex. Quinctilius (15) Sex. f. P. n.,-500,-453,47
"DOMI1630 Cn. Domitius (20, Supb. 3.349) Cn. f. Cn. n. Ahenobarbus",-169,-103,66
OPIM1639 L. Opimius (4) Q. f. Q. n.,-175,-57,118
AEMI1645 M. Aemilius (140) M. f. L. n. Cam. Scaurus,-162,-88,74
CAEC1649 L. Caecilius (91) L. f. Q. n. Metellus Delmaticus,-161,-103,58
HORA0165 C. (or M.) Horatius (13) M. f. M. n. Pulvillus,-510,-453,57
LIVI1651 M. Livius (17) C. f. M. n. Drusus,-155,-109,46
PORC1656 M. Porcius (10) M. f. M. n. Pap. Cato,-175,-118,57
"MARI1660 C. Marius (14, Supb. 6) C. f. C. n. Cor.",-158,-86,72
LICI1679 L. Licinius (55) L. f. C. n. Crassus,-140,-91,49
CORN1695 P. Cornelius (355) P. f. P. n. Scipio Nasica Serapio,-154,-111,43
CORN1746 L. Cornelius (392) L. f. P. n. Sulla Felix ('Epaphroditus'),-138,-78,60
AURE1749 L. Aurelius (181) L. f. L. n. Orestes,-150,-103,47
CLAU1753 C. Claudius (302) Ap. f. C. n. Pulcher,-141,-91,50
DOMI1763 Cn. Domitius (21) Cn. f. Cn. n. Ahenobarbus,-139,-89,50
