name,birth,death,age
"IUNI0001 L. Iunius (46a, Supb. 5.356ff.) M. f. Brutus",-540,-509,31
AULI1004 M'. Aulius (1),-250,-208,42
MATI1027 P. Matienus (5),-250,-205,45
SERG1029 M. Sergius (19),-250,-205,45
COSC1045 M. Cosconius (7),-250,-203,47
HELV1046 C. Helvius (1),-232,-203,29
MAEV1047 M. Maevius (4),-250,-203,47
"BAEB1052 L. Baebius (14, 25) Dives",-250,-189,61
MINU1064 Q. Minucius (65) Q. f. L. n. Thermus,-228,-187,41
AMPI1069 C. Ampius (not in RE),-250,-201,49
"APUS1088 L. Apustius (2,  5) (Fullo)",-231,-190,41
HERM0011 T. Herminius (2) Aquilinus,-550,-499,51
FURI0110 P. Furius (69) Medullinus Fusus,-525,-464,61
IUVE1106 T. Iuventius (9) (Thalna),-250,-197,53
LIGU1107 Cn. Ligurius (2),-250,-197,53
CLAU1119 P. Claudius (28),-250,-196,54
ORBI0112  Orbinia (RE 18.1.877),-500,-472,28
IUNI1123 M. Iunius (168) Silanus,-250,-196,54
SEMP1124 T. (or Ti.) Sempronius (60) Gracchus,-250,-196,54
CLAU0113 Ap. Claudius (123) Ap. f. M. n. Crassinus Inregillensis Sabinus,-525,-449,76
POST1143 L. Postumius (65) Tympanus,-225,-194,31
ATIN1145 M. Atinius (5),-225,-194,31
SEMP1146 P. Sempronius (11),-225,-194,31
GENU1160 M. Genucius (7),-225,-193,32
MARC1161 M. Marcius (21),-225,-193,32
MARC1162 Q. Marcius (21),-225,-193,32
"PETI1219 Q. Petillius (11, cf. 4) C. f. Q. n. Spurinus",-219,-176,43
"ATIN1220 C. Atinius (1, 2)",-225,-186,39
FULV1242 Q. Fulvius (61) Q. f. M. n. Flaccus,-219,-172,47
VALE0013 M. Valerius (74) Volus. f. (Volusus),-550,-499,51
LICI1305 M. Licinius (166) Strabo,-225,-178,47
OCTA1356 Cn. Octavius (17) Cn. f. Cn. n.,-209,-162,47
POST1406 L. Postumius (42) Sp. f. L. n. Albinus,-199,-154,45
CLAU0141 C. Claudius (322) Ap. f. M. n. Crassus Inregillensis Sabinus,-500,-460,40
TERE1486 -. Terentius (77) Varro,-200,-154,46
IUVE1507 P. Iuventius (31) Thalna,-200,-148,52
VETI1522 C. Vetilius (1),-200,-146,54
SEMP1525 Ti. Sempronius (54) Ti. f. P. n. Gracchus,-162,-133,29
HOST1562 L. Hostilius (26) Tubulus,-175,-141,34
IUNI1566 D. Iunius (161) Silanus Manlianus,-175,-140,35
OPPI1571 -. Oppius (3),-175,-140,35
"MEMM1595 C. Memmius (5, 3)",-143,-100,43
SEMP1598 C. Sempronius (47) Ti. f. P. n. Gracchus,-154,-121,33
SICC0161 L. Siccius (3) Dentatus 'Achilles Romanus',-514,-449,65
PAPI1623 C. Papirius (33) C. f. Carbo,-163,-119,44
FULV1624 M. Fulvius (58) M. f. Flaccus,-168,-121,47
LICI1646  Licinia (181) C. f.,-140,-113,27
POMP1675 Sex. Pompeius (17),-160,-120,40
AURE1683 M. Aurelius (215) Scaurus,-150,-105,45
MUCI1692 Q. Mucius (22) P. f. P. n. Scaevola 'Pontifex',-140,-82,58
AEMI1698  Aemilia (153),-140,-114,26
MARC1700  Marcia (114),-150,-113,37
ANTO1705 M. Antonius (28) M. f. M. n.,-143,-87,56
CALP1712 L. Calpurnius (88) L. f. C. n. Piso Caesoninus,-150,-107,43
CALP1713 L. Calpurnius (97) Piso Frugi,-150,-111,39
CASS1715 L. Cassius (62) L. f. Longinus,-150,-107,43
"POST1728 A. Postumius (33, cf. 32, 34) Albinus",-142,-89,53
LUTA1731 Q. Lutatius (7) Q. f. Catulus,-149,-87,62
SERV1734 C. Servilius (65) Glaucia,-142,-100,42
TURP1735 T. Turpilius (10) Silanus,-150,-109,41
LIVI1756 M. Livius (18) M. f. C. n. Drusus,-119,-91,28
AQUI1757 M'. Aquillius (11) M'. f. M'. n.,-150,-88,62
APPU1766 L. Appuleius (29) Saturninus,-133,-100,33
LUSI1769 C. Lusius (1) Ter.,-150,-104,46
DIDI1776 T. Didius (5) T. f. Sex. n.,-150,-89,61
NORB1777 C. Norbanus (5) (Balbus),-150,-82,68
OPPI0178 Sp. Oppius (27) Cornicen,-500,-449,51
LICI1780 P. Licinius (61) M. f. P. n. Crassus (Dives),-150,-87,63
AEMI1783 M. Aemilius (137) Scaurus,-150,-102,48
GRAT1786 M. Gratidius (2) Cor.,-150,-102,48
SERV1796 Q. Servilius (50) Caepio,-131,-90,41
IULI1798 C. Iulius (135) L. f. Caesar Strabo Vopiscus,-130,-87,43
VALE1802 L. Valerius (178) C.? f. L. n. Flaccus,-135,-85,50
EQUI1803 L. Equitius (3) Vel. 'Pseudogracchus',-150,-100,50
FURI1804 P. Furius (22),-150,-98,52
POMP1805 Q. Pompeius (39) Q. f. A.? n. Rufus,-129,-88,41
SAUF1809 C. Saufeius (3),-150,-100,50
DOMI1816 L. Domitius (26) Cn. f. Cn. n. Ahenobarbus,-150,-82,68
SERT1818 Q. Sertorius (3) Qui.,-123,-71,52
PAPI1835 C. Papirius (40) C. f. Carbo Arvina,-124,-82,42
RUTI1837 P. Rutilius (26) L. f. L. n. Lupus,-125,-90,35
PORC1841 L. Porcius (7) M. f. M. n. Pap. Cato,-150,-89,61
PAPI1843 Cn. Papirius (38) Cn. f. C. n. Carbo,-129,-82,47
SERV1849 Q. Servilius (29),-125,-90,35
CORN1871 L. Cornelius (106) L. f. L. n. Cinna,-125,-84,41
CORN1872 L. Cornelius (272) Merula,-130,-87,43
OCTA1873 Cn. Octavius (20) Cn. f. Cn. n.,-130,-87,43
POST1874 L. Postumius (13),-125,-90,35
CORN1883 P. Cornelius (203) Lentulus,-125,-87,38
FONT1884 -. Fonteius (2),-125,-91,34
SULP1886 P. Sulpicius (92) (Rufus),-124,-88,36
SEMP1894 A. Sempronius (17) Asellio,-125,-89,36
AEBU1913 D. Aebutius (3) D. f. Cor.,-125,-87,38
"GABI1920 A. Gabinius (9, cf. 8)",-125,-89,36
ANCH1928 Q. Ancharius (2),-125,-87,38
IUNI1929 M. Iunius (51) Brutus,-125,-82,43
GRAT1933 M. Gratidius (1) Cor.,-125,-88,37
LUCI1938 Sex. Lucilius (15),-125,-86,39
MARI1940 M. Marius (42) Cor. Gratidianus,-125,-82,43
MILO1941 C. Milonius (2),-125,-87,38
FLAV1946 C. Flavius (88) Fimbria,-115,-85,30
MARC1947 C. Marcius (43) Censorinus,-111,-82,29
COEL1956 P. Coelius (Caelius 16) Caldus,-125,-87,38
IULI1957 C. Iulius (131) C. f. C. n. Fab. Caesar,-100,-44,56
HIRT1960 -. Hirtuleius (1),-125,-75,50
FABI1964 C. Fabius (82) C. f. Q. n. Mae. Hadrianus,-150,-83,67
VERR1967 C. Verres (1) Rom.,-125,-41,84
"BURR1970 P.? Burrenus (Burrienus 1, and RE 3.1070)",-125,-80,45
IUNI1973 M. Iunius (52) Brutus,-117,-77,40
POMP1976 Cn. Pompeius (31) Cn. f. Sex. n. Clu. Magnus,-106,-48,58
CARR1977 C. Carrinas (1),-125,-82,43
IUNI1980 L. Iunius (58) L. f. Gal. Brutus Damasippus,-125,-80,45
LICI1981 M. Licinius (68) P. f. M. n. Crassus,-115,-53,62
MARI1983 C. Marius (15) C. f. C. n.,-108,-82,26
PERP1986 M. Perperna (6) Veiento,-125,-72,53
VALE1989 Q. Valerius (345) Rom. Soranus,-125,-80,45
DOMI1991 Cn. Domitius (22) Ahenobarbus,-125,-81,44
COEL1995 C. Coelius (6) Antipater,-125,-82,43
FLAV1996 -. Flavius (86) Fimbria,-125,-82,43
SERG1998 L. Sergius (23) Tro. Catilina,-125,-62,63
CASS0020 Sp. Cassius (91) Vecellinus,-550,-485,65
LUCR2003 Q. Lucretius (25) Afella (or Ofella),-124,-82,42
VENU2004 -. Venuleius (1),-125,-82,43
PAPI2011 C. Papirius (34) (Cn. f.) Carbo,-125,-80,45
