country,continent,lifeExp,pop,gdpPercap
"IUNI0001 L. Iunius (46a, Supb. 5.356ff.) M. f. Brutus",Violent,31,31,-509
HERM0011 T. Herminius (2) Aquilinus,Violent,51,51,-499
VALE0013 M. Valerius (74) Volus. f. (Volusus),Violent,51,51,-499
CASS0020 Sp. Cassius (91) Vecellinus,Violent,65,65,-485
"FABI0077 Q. Fabius (164, cf. 159) K. f.  Vibulanus",Violent,45,45,-480
MANL0088 Cn. Manlius (19) P. f. - n. Cincinnatus,Violent,45,45,-480
MENE0096 T. Menenius (17) Agrippae f. C. n. Lanatus,Violent,49,49,-476
ORBI0112  Orbinia (RE 18.1.877),Violent,28,28,-472
FURI0110 P. Furius (69) Medullinus Fusus,Violent,61,61,-464
CLAU0141 C. Claudius (322) Ap. f. M. n. Crassus Inregillensis Sabinus,Violent,40,40,-460
VALE0051 P. Valerius (301) P. f. Volus. n. Poplicola,Violent,65,65,-460
CLAU0113 Ap. Claudius (123) Ap. f. M. n. Crassinus Inregillensis Sabinus,Violent,76,76,-449
SICC0161 L. Siccius (3) Dentatus 'Achilles Romanus',Violent,65,65,-449
OPPI0178 Sp. Oppius (27) Cornicen,Violent,51,51,-449
FULC0233 C. Fulcinnius (1),Violent,37,37,-438
CLOE0234 -. Cloelius (6) Tullus,Violent,37,37,-438
ANTI0235 Sp. Antius (6),Violent,37,37,-438
ROSC0236 L. Roscius (4),Violent,37,37,-438
"POST0307 P. Postumius (60, cf. 1, 51) A. f. A. n. Albinus Regillensis",Violent,36,36,-414
SEXT0309 P. Sextius (Sestius 5),Violent,36,36,-414
GENU0360 Cn. Genucius (10) M. f. M. n. Augurinus,Violent,54,54,-396
"FOLI0402 M. Folius (1, 2) M. f. (Flaccinator)",Violent,60,60,-390
FABI0396 Q. Fabius (48) M. f. Q. n. Ambustus,Violent,36,36,-389
MANL0391 M. Manlius (51) T. f. A. n. Arn. Sab. Tro. Ste. Capitolinus,Violent,41,41,-384
GENU0489 L. Genucius (14) M. f. Cn. n. Aventinensis,Violent,38,38,-362
DECI0515 P. Decius (15) Q. f. Mus,Violent,37,37,-340
MANL0536 T. Manlius (cf. 57 or 81) (Torquatus),Violent,35,35,-340
MINU0545  Minucia (68),Violent,13,13,-337
AULI0571 Q. Aulius (2) Q. f. Q. n. Cerretanus,Violent,60,60,-315
MINU0614 Ti. Minucius (34) Augurinus,Violent,45,45,-305
DECI0596 P. Decius (16) P. f. Q. n. Mus,Violent,45,45,-295
OPIM0648 L. Opimius (12) Pansa,Violent,31,31,-294
CAEC0673 L. Caecilius (92) Metellus Denter,Violent,58,58,-283
CORN0674 P. Cornelius (139) Dolabella,Violent,43,43,-282
VALE0679 L. Valerius (59) (Flaccus),Violent,43,43,-282
DECI0685 P. Decius (17) P. f. P. n. Mus,Violent,46,46,-279
SEXT0693  Sextilia (31),Violent,27,27,-273
CAPA4639  Caparronia (not in RE),Violent,9,9,-266
FABI0709 Q. Fabius (cf. 112) Q. f. Q. n. Maximus Gurges,Violent,35,35,-265
CORN0723 Cn. Cornelius (341) L. f. Cn. n. Scipio Asina,Violent,40,40,-260
ATIL0703 M. Atilius (51) M. f. L. n. Pup. Regulus,Violent,50,50,-250
IUNI0753 L. Iunius (133) C. f. L. n. Pullus,Violent,51,51,-249
CORU0800 L. Coruncanius (2),Violent,45,45,-230
IUNI0801 P. Iunius (26),Violent,45,45,-230
ATIL0813 C. Atilius (48) M. f. M. n. Regulus,Violent,38,38,-225
FABI4234 -. Fabius (51) Buteo,Violent,80,80,-220
FLAM0989 C. Flaminius (3) C. f. C. n.,Violent,18,18,-218
FLAM0793 C. Flaminius (2) C. f. L. n.,Violent,44,44,-217
SEMP0860 Ti. Sempronius (32) Blaesus,Violent,33,33,-217
CENT0861 C. Centenius (1),Violent,33,33,-217
POST0788 L. Postumius (40) A. f. A. n. Albinus,Violent,59,59,-216
ATIL0806 M. Atilius (52) M. f. M. n. Regulus,Violent,47,47,-216
MINU0820 M. Minucius (52) C. f. C. n. Rufus,Violent,59,59,-216
AEMI0826 L. Aemilius (118) M. f. M. n. Paullus,Violent,34,34,-216
SERV0852 Cn. Servilius (61) P. f. Q. n. Geminus,Violent,41,41,-216
ATIL0875 L. Atilius (13),Violent,34,34,-216
FURI0876 L. Furius (35) Bibaculus,Violent,34,34,-216
CANT0892 L. Cantilius (1),Violent,34,34,-216
FLOR0893  Floronia (1),Violent,34,34,-216
OPIM0894  Opimia (14),Violent,34,34,-216
"ATIL0964 L. Atilius (15, cf. 13, 14, 16)",Violent,9,9,-216
SEMP0866 Ti. Sempronius (51) Ti. f. Ti. n. Gracchus,Violent,38,38,-212
CORN0817 Cn. Cornelius (345) L. f. L. n. Scipio Calvus,Violent,45,45,-211
CORN0832 P. Cornelius (330) L. f. L. n. Scipio,Violent,44,44,-211
